id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h,label
0,1013,40,9,36,34,72.0,40.0,1.0049837827682495,0.9921259880065918,0,0,512,512,RBC
1,929,156,484,41,27,184.0,504.0,1.0048558712005615,0.9935622215270996,0,0,512,512,RBC
2,1203,290,266,38,38,296.0,296.0,1.0048303604125977,0.9933775067329408,0,0,512,512,RBC
3,1050,227,361,35,36,248.0,392.0,1.0047898292541504,0.992409884929657,0,0,512,512,RBC
4,1009,164,357,35,35,200.0,376.0,1.0046839714050293,0.9911591410636902,0,0,512,512,RBC
5,1132,206,90,37,37,232.0,120.0,1.0041872262954712,0.9885563254356384,0,0,512,512,RBC
6,1067,314,71,35,38,344.0,104.0,1.0040347576141355,0.9906976819038392,0,0,512,512,RBC
7,1172,58,89,41,35,72.0,88.0,1.0036920309066772,0.988964319229126,0,0,512,512,RBC
8,1095,341,217,38,36,344.0,232.0,1.003464937210083,0.9909256100654602,0,0,512,512,RBC
9,1084,243,325,38,36,280.0,344.0,1.003259778022766,0.9917279481887816,0,0,512,512,RBC
10,1130,239,56,41,34,280.0,72.0,1.003237009048462,0.9894366264343262,0,0,512,512,RBC
11,991,264,368,34,35,280.0,376.0,1.0030291080474854,0.988988995552063,0,0,512,512,RBC
12,1021,0,324,31,38,24.0,360.0,1.002982497215271,0.9931573867797852,0,0,512,512,RBC
13,1123,120,430,37,36,120.0,456.0,1.0028425455093384,0.9937832951545716,0,0,512,512,RBC
14,894,159,212,34,32,168.0,232.0,1.002840876579285,0.9944320917129515,0,0,512,512,RBC
15,971,384,349,33,36,392.0,360.0,1.002773404121399,0.9938334822654724,0,0,512,512,RBC
16,1020,35,269,35,35,56.0,296.0,1.0025486946105957,0.9931439757347108,0,0,512,512,RBC
17,1069,465,81,38,33,504.0,104.0,1.0025460720062256,0.990714967250824,0,0,512,512,RBC
18,1094,470,306,40,34,472.0,328.0,1.0024915933609009,0.9909090995788574,0,0,512,512,RBC
19,993,392,173,34,36,408.0,200.0,1.0020439624786377,0.9840319156646729,0,0,512,512,RBC
20,644,276,491,36,20,312.0,504.0,1.0019539594650269,0.9891641139984132,0,0,512,512,RBC
21,1260,253,426,41,37,280.0,456.0,1.0018328428268433,0.9920760989189148,0,0,512,512,RBC
22,1172,2,114,37,39,40.0,136.0,1.0018134117126465,0.9940425753593444,0,0,512,512,RBC
23,998,68,247,35,35,72.0,264.0,1.0017880201339722,0.9920239448547364,0,0,512,512,RBC
24,1141,284,127,41,34,296.0,152.0,1.001786708831787,0.9878154993057252,0,0,512,512,RBC
25,1063,403,234,35,36,408.0,248.0,1.0016121864318848,0.9925163984298706,0,0,512,512,RBC
26,775,482,483,29,28,504.0,504.0,1.001360535621643,0.992277979850769,0,0,512,512,RBC
27,1020,158,72,37,34,168.0,104.0,1.001289129257202,0.9883154630661012,0,0,512,512,RBC
28,1038,35,334,36,35,40.0,360.0,1.0012011528015137,0.9932821393013,0,0,512,512,RBC
29,973,98,16,34,34,104.0,40.0,1.0011577606201172,0.9867751598358154,0,0,512,512,RBC
30,1205,296,224,39,37,328.0,248.0,1.0010985136032104,0.9884201884269714,0,0,512,512,RBC
31,995,417,361,34,35,424.0,376.0,1.0009286403656006,0.9900000095367432,0,0,512,512,RBC
32,882,0,158,28,36,24.0,184.0,1.0009253025054932,0.9853768348693848,0,0,512,512,RBC
33,995,129,42,33,37,136.0,72.0,1.000774621963501,0.993981957435608,0,0,512,512,RBC
