id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h,label
0,1053,28,435,34,36,40,472,1.002536654,0.990521312,0,0,512,512,RBC
1,1061,464,243,40,34,472,264,1.002454281,0.985981286,0,0,512,512,RBC
2,805,380,25,32,30,392,56,1.001380563,0.991347313,0,0,512,512,RBC
3,1018,203,63,37,34,232,72,1.000530362,0.984420657,0,0,512,512,RBC
4,894,201,487,41,24,232,504,1.000429869,0.98888886,0,0,512,512,RBC
5,1060,21,300,38,34,56,328,0.99910599,0.988742948,0,0,512,512,RBC
6,1023,265,70,34,36,264,88,0.998172641,0.988349497,0,0,512,512,RBC
7,1054,30,374,38,35,40,376,0.998074114,0.984934092,0,0,512,512,RBC
8,1099,372,313,32,41,392,312,0.997503757,0.983798385,0,0,512,512,RBC
9,881,274,121,32,33,296,136,0.997487724,0.986486495,0,0,512,512,RBC
10,1044,33,6,36,35,56,40,0.997268498,0.992366433,0,0,512,512,RBC
11,753,308,487,35,24,312,504,0.997202337,0.993386269,0,0,512,512,RBC
12,899,59,182,36,30,72,184,0.99710542,0.992248058,0,0,512,512,RBC
13,1146,93,349,38,37,120,376,0.996907532,0.988725066,0,0,512,512,RBC
14,993,101,432,37,32,136,440,0.996891916,0.990981936,0,0,512,512,RBC
15,943,296,3,34,34,296,24,0.996736526,0.984243691,0,0,512,512,RBC
16,894,185,161,34,31,200,168,0.996669114,0.980132461,0,0,512,512,RBC
17,1090,232,169,38,35,232,184,0.996493161,0.986326337,0,0,512,512,RBC
18,631,77,490,34,21,104,504,0.996389031,0.995260656,0,0,512,512,RBC
19,1116,273,232,40,34,296,248,0.996206403,0.985790431,0,0,512,512,RBC
20,839,462,320,31,32,472,328,0.996157825,0.988165677,0,0,512,512,RBC
21,910,262,276,35,32,280,280,0.995988131,0.987991273,0,0,512,512,RBC
22,967,162,288,33,35,184,296,0.995926201,0.993801653,0,0,512,512,RBC
23,1200,129,373,40,36,136,376,0.995926082,0.985111654,0,0,512,512,RBC
24,1034,275,463,36,35,280,472,0.995807111,0.988439322,0,0,512,512,RBC
25,1114,428,426,39,36,440,440,0.995610416,0.990187347,0,0,512,512,RBC
26,893,210,201,35,31,232,232,0.995523512,0.98777777,0,0,512,512,RBC
27,1465,464,192,47,47,488,216,0.995521307,0.981694937,0,0,512,512,RBC
28,942,187,367,34,34,216,392,0.99551177,0.984227121,0,0,512,512,RBC
29,1022,421,303,37,33,424,328,0.995369017,0.996097565,0,0,512,512,RBC
30,1107,446,11,38,36,456,40,0.995270312,0.988298833,0,0,512,512,RBC
31,1040,170,425,34,37,184,424,0.995125473,0.981939137,0,0,512,512,RBC
32,471,252,495,35,16,280,504,0.995055497,0.989429176,0,0,512,512,RBC
33,617,0,384,22,32,8,392,0.995048463,0.990306973,0,0,512,512,RBC
34,970,164,328,34,34,184,328,0.995004117,0.992820501,0,0,512,512,RBC
35,1068,385,205,40,34,392,216,0.994758189,0.982309103,0,0,512,512,RBC
36,1133,94,391,39,36,120,424,0.994624674,0.985061526,0,0,512,512,RBC
37,1183,3,193,38,38,40,216,0.994579256,0.987384379,0,0,512,512,RBC
38,1026,441,268,34,37,440,280,0.994575441,0.987378657,0,0,512,512,RBC
39,872,409,0,36,28,440,8,0.994514525,0.991999984,0,0,512,512,RBC
40,969,464,192,34,35,472,200,0.994366586,0.981557369,0,0,512,512,RBC
41,1014,257,11,37,33,280,40,0.994197547,0.989183903,0,0,512,512,RBC
42,1049,107,465,41,33,120,472,0.994079828,0.985808909,0,0,512,512,RBC
43,932,476,460,33,34,488,488,0.99406904,0.989350379,0,0,512,512,RBC
44,969,194,99,36,33,200,104,0.993848145,0.986707568,0,0,512,512,RBC
46,1061,391,135,38,34,424,168,0.993760347,0.979458451,0,0,512,512,RBC
47,1098,327,38,36,37,328,56,0.993642867,0.985572577,0,0,512,512,RBC
48,1123,474,404,35,38,504,408,0.993555605,0.984140992,0,0,512,512,RBC
49,851,429,230,31,32,456,248,0.993547559,0.991793692,0,0,512,512,RBC
50,995,433,152,35,34,456,168,0.993439853,0.986027956,0,0,512,512,RBC
51,952,108,313,34,33,136,344,0.993281782,0.991640568,0,0,512,512,RBC
52,872,342,449,32,33,360,456,0.99327755,0.980725646,0,0,512,512,RBC
53,1087,459,49,38,35,472,56,0.992960036,0.984489024,0,0,512,512,RBC
54,878,23,82,34,32,40,88,0.9929232,0.981941283,0,0,512,512,RBC
55,915,214,129,35,33,248,152,0.992887855,0.984815598,0,0,512,512,RBC
56,882,401,256,32,32,408,264,0.992659628,0.985327303,0,0,512,512,RBC
